,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
MATCH/USDT,MATCH/USDT,,,1.5702e-05,1.3646e-05,1.4727e-05,,1.5571e-05,,1.5111564964701e-05,,1.5072e-05,1.5072e-05,,,3.65,,1606167744.8458,24271.708220445,"{'currency_pair': 'MATCH_USDT', 'last': '0.000015072', 'lowest_ask': '0.000015571', 'highest_bid': '0.000014727', 'change_percentage': '3.65', 'change_utc0': '-1.07', 'change_utc8': '-3.68', 'base_volume': '1606167744.8458', 'quote_volume': '24271.708220445', 'high_24h': '0.000015702', 'low_24h': '0.000013646'}"
PEPEBRC/USDT,PEPEBRC/USDT,,,0.23209,0.15439,0.19,,0.19495,,0.19404359240460411,,0.19283,0.19283,,,22.64,,738387.56702641,143279.3760927,"{'currency_pair': 'PEPEBRC_USDT', 'last': '0.19283', 'lowest_ask': '0.19495', 'highest_bid': '0.19', 'change_percentage': '22.64', 'change_utc0': '16.96', 'change_utc8': '-6.59', 'base_volume': '738387.56702641', 'quote_volume': '143279.3760927', 'high_24h': '0.23209', 'low_24h': '0.15439'}"
AXS5L/USDT,AXS5L/USDT,,,0.652261,0.43533,0.56543,,0.5718,,0.5455243125906843,,0.571799,0.571799,,,19.14,,1138081.9,620851.3461694,"{'currency_pair': 'AXS5L_USDT', 'last': '0.571799', 'lowest_ask': '0.5718', 'highest_bid': '0.56543', 'change_percentage': '19.14', 'change_utc0': '16.58', 'change_utc8': '-2.91', 'base_volume': '1138081.9', 'quote_volume': '620851.3461694', 'high_24h': '0.652261', 'low_24h': '0.43533', 'etf_net_value': '0.57114043', 'etf_pre_net_value': '0.58174631', 'etf_pre_timestamp': '1709568000', 'etf_leverage': '5.074278640129511'}"
OVR/USDT,OVR/USDT,,,0.5677,0.5268,0.54,,0.5418,,0.5505328289401621,,0.5408,0.5408,,,-2.43,,1593492.9957947,877270.20687119,"{'currency_pair': 'OVR_USDT', 'last': '0.5408', 'lowest_ask': '0.5418', 'highest_bid': '0.54', 'change_percentage': '-2.43', 'change_utc0': '-3.73', 'change_utc8': '-3.01', 'base_volume': '1593492.9957947', 'quote_volume': '877270.20687119', 'high_24h': '0.5677', 'low_24h': '0.5268'}"
SLP3L/USDT,SLP3L/USDT,,,7.1645,5.0693,5.3599,,5.4508,,5.878013276692198,,5.2363,5.2363,,,-26.91,,2629.42,15455.76567,"{'currency_pair': 'SLP3L_USDT', 'last': '5.2363', 'lowest_ask': '5.4508', 'highest_bid': '5.3599', 'change_percentage': '-26.91', 'change_utc0': '-15.4', 'change_utc8': '-10.08', 'base_volume': '2629.42', 'quote_volume': '15455.76567', 'high_24h': '7.1645', 'low_24h': '5.0693', 'etf_net_value': '5.41105530', 'etf_pre_net_value': '5.76899984', 'etf_pre_timestamp': '1709568000', 'etf_leverage': '2.3859957776213934'}"
TET/USDT,TET/USDT,,,,,,,3.2,,,,,,,,,,0.0,0.0,"{'currency_pair': 'TET_USDT', 'last': '0', 'lowest_ask': '3.2', 'highest_bid': '', 'change_percentage': '0', 'change_utc0': '0', 'change_utc8': '0', 'base_volume': '0', 'quote_volume': '0', 'high_24h': '0', 'low_24h': '0'}"
ADA/USDT,ADA/USDT,,,0.7984,0.7235,0.7705,,0.7706,,0.7683030225573397,,0.7695,0.7695,,,6.1,,22819415.411159,17532225.833385,"{'currency_pair': 'ADA_USDT', 'last': '0.7695', 'lowest_ask': '0.7706', 'highest_bid': '0.7705', 'change_percentage': '6.1', 'change_utc0': '5.67', 'change_utc8': '-2.33', 'base_volume': '22819415.411159', 'quote_volume': '17532225.833385', 'high_24h': '0.7984', 'low_24h': '0.7235'}"
PERC/USDT,PERC/USDT,,,0.7,0.65595,0.68097,,0.69294,,0.6717751481160124,,0.6904,0.6904,,,1.62,,84592.8023856,56827.342352135,"{'currency_pair': 'PERC_USDT', 'last': '0.6904', 'lowest_ask': '0.69294', 'highest_bid': '0.68097', 'change_percentage': '1.62', 'change_utc0': '4.04', 'change_utc8': '0.33', 'base_volume': '84592.8023856', 'quote_volume': '56827.342352135', 'high_24h': '0.7', 'low_24h': '0.65595'}"
WRX/ETH,WRX/ETH,,,0.0001069,8.88e-05,9.55e-05,,9.71e-05,,9.6484241216763e-05,,9.57e-05,9.57e-05,,,7.77,,47093.2247628035,4.543754057689591,"{'currency_pair': 'WRX_ETH', 'last': '0.0000957', 'lowest_ask': '0.0000971', 'highest_bid': '0.0000955', 'change_percentage': '7.77', 'change_utc0': '-3.43', 'change_utc8': '0.73', 'base_volume': '47093.2247628035', 'quote_volume': '4.54375405768959105', 'high_24h': '0.0001069', 'low_24h': '0.0000888'}"
GAL3S/USDT,GAL3S/USDT,,,0.01616,0.01509,0.01559,,0.01585,,0.01569999291473539,,0.01616,0.01616,,,3.58,,18390.28,288.7272657,"{'currency_pair': 'GAL3S_USDT', 'last': '0.01616', 'lowest_ask': '0.01585', 'highest_bid': '0.01559', 'change_percentage': '3.58', 'change_utc0': '3.58', 'change_utc8': '2.47', 'base_volume': '18390.28', 'quote_volume': '288.7272657', 'high_24h': '0.01616', 'low_24h': '0.01509', 'etf_net_value': '0.01572246', 'etf_pre_net_value': '0.01541776', 'etf_pre_timestamp': '1709568000', 'etf_leverage': '2.236046139988959'}"
