,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
NULS/EUR,NULS/EUR,1709579786295,2024-03-04T19:16:26.295Z,0.31785,0.28374,0.29616,4218.2,0.29685,1677.66259053,0.3029246810454227,0.28681,0.29558,0.29558,,0.00877,3.057773438861964,0.291195,2298809.22797289,696366.0521679621,"{'market': 'NULS-EUR', 'startTimestamp': '1709493386295', 'timestamp': '1709579786295', 'open': '0.28681', 'openTimestamp': '1709499176694', 'high': '0.31785', 'low': '0.28374', 'last': '0.29558', 'closeTimestamp': '1709579680159', 'bid': '0.29616', 'bidSize': '4218.2', 'ask': '0.29685', 'askSize': '1677.66259053', 'volume': '2298809.22797289', 'volumeQuote': '696366.052167962068'}"
OCEAN/EUR,OCEAN/EUR,1709579785967,2024-03-04T19:16:25.967Z,1.0256,0.935,0.97015,2574.83846312,0.9728,1393.13780401,0.9889719005123753,0.99208,0.96899,0.96899,,-0.02309,-2.327433271510362,0.980535,1634893.40750233,1616863.6403527325,"{'market': 'OCEAN-EUR', 'startTimestamp': '1709493385967', 'timestamp': '1709579785967', 'open': '0.99208', 'openTimestamp': '1709498901705', 'high': '1.0256', 'low': '0.935', 'last': '0.96899', 'closeTimestamp': '1709579653474', 'bid': '0.97015', 'bidSize': '2574.83846312', 'ask': '0.9728', 'askSize': '1393.13780401', 'volume': '1634893.40750233', 'volumeQuote': '1616863.6403527325295'}"
OGN/EUR,OGN/EUR,1709579786295,2024-03-04T19:16:26.295Z,0.21256,0.18817,0.19513,10238.7504228,0.1956,17667.77505112,0.20095739843445892,0.20287,0.19463,0.19463,,-0.00824,-4.061714398383201,0.19875,1649821.79977517,331543.8967632749,"{'market': 'OGN-EUR', 'startTimestamp': '1709493386295', 'timestamp': '1709579786295', 'open': '0.20287', 'openTimestamp': '1709498820435', 'high': '0.21256', 'low': '0.18817', 'last': '0.19463', 'closeTimestamp': '1709579602470', 'bid': '0.19513', 'bidSize': '10238.7504228', 'ask': '0.1956', 'askSize': '17667.77505112', 'volume': '1649821.79977517', 'volumeQuote': '331543.8967632749319'}"
OMG/BTC,OMG/BTC,1709579785902,2024-03-04T19:16:25.902Z,,,,,,,,,,,,,,,,,"{'market': 'OMG-BTC', 'startTimestamp': '1709493385902', 'timestamp': '1709579785902', 'open': None, 'openTimestamp': None, 'high': None, 'low': None, 'last': None, 'closeTimestamp': None, 'bid': None, 'bidSize': None, 'ask': None, 'askSize': None, 'volume': None, 'volumeQuote': None}"
OMG/EUR,OMG/EUR,1709579785670,2024-03-04T19:16:25.670Z,1.1479,1.0199,1.0826,1391.7525956,1.0855,322.7,1.0775935495098452,1.066,1.0867,1.0867,,0.0207,1.9418386491557222,1.07635,776052.81979043,836269.5126850938,"{'market': 'OMG-EUR', 'startTimestamp': '1709493385670', 'timestamp': '1709579785670', 'open': '1.066', 'openTimestamp': '1709498830654', 'high': '1.1479', 'low': '1.0199', 'last': '1.0867', 'closeTimestamp': '1709579773902', 'bid': '1.0826', 'bidSize': '1391.7525956', 'ask': '1.0855', 'askSize': '322.7', 'volume': '776052.81979043', 'volumeQuote': '836269.512685093759'}"
ONDO/EUR,ONDO/EUR,1709579785868,2024-03-04T19:16:25.868Z,0.49907,0.43,0.45545,2192.20873861,0.45744,15647.40282466,0.4602410247745796,0.46468,0.45631,0.45631,,-0.00837,-1.8012395627098219,0.460495,2760912.9917882,1270685.4246540517,"{'market': 'ONDO-EUR', 'startTimestamp': '1709493385868', 'timestamp': '1709579785868', 'open': '0.46468', 'openTimestamp': '1709498821711', 'high': '0.49907', 'low': '0.43', 'last': '0.45631', 'closeTimestamp': '1709579702449', 'bid': '0.45545', 'bidSize': '2192.20873861', 'ask': '0.45744', 'askSize': '15647.40282466', 'volume': '2760912.9917882', 'volumeQuote': '1270685.4246540516348'}"
ONE/EUR,ONE/EUR,1709579786295,2024-03-04T19:16:26.295Z,0.035093,0.026364,0.030908,96998.29183383,0.030987,96279.59000497,0.031144790945126555,0.0265,0.030878,0.030878,,0.004378,16.52075471698113,0.028689,99569924.27282517,3101084.475899222,"{'market': 'ONE-EUR', 'startTimestamp': '1709493386295', 'timestamp': '1709579786295', 'open': '0.0265', 'openTimestamp': '1709498820380', 'high': '0.035093', 'low': '0.026364', 'last': '0.030878', 'closeTimestamp': '1709579677765', 'bid': '0.030908', 'bidSize': '96998.29183383', 'ask': '0.030987', 'askSize': '96279.59000497', 'volume': '99569924.27282516', 'volumeQuote': '3101084.47589922190949'}"
ONG/BTC,ONG/BTC,1709579785670,2024-03-04T19:16:25.670Z,,,,,,,,,,,,,,,,,"{'market': 'ONG-BTC', 'startTimestamp': '1709493385670', 'timestamp': '1709579785670', 'open': None, 'openTimestamp': None, 'high': None, 'low': None, 'last': None, 'closeTimestamp': None, 'bid': None, 'bidSize': None, 'ask': None, 'askSize': None, 'volume': None, 'volumeQuote': None}"
ONG/EUR,ONG/EUR,1709579786295,2024-03-04T19:16:26.295Z,0.41449,0.36784,0.38957,5100.8,0.39122,5619.9,0.39023910409756046,0.37161,0.38904,0.38904,,0.01743,4.69040122709292,0.380325,348851.8072568,136135.61672670845,"{'market': 'ONG-EUR', 'startTimestamp': '1709493386295', 'timestamp': '1709579786295', 'open': '0.37161', 'openTimestamp': '1709499389857', 'high': '0.41449', 'low': '0.36784', 'last': '0.38904', 'closeTimestamp': '1709579487040', 'bid': '0.38957', 'bidSize': '5100.8', 'ask': '0.39122', 'askSize': '5619.9', 'volume': '348851.8072568', 'volumeQuote': '136135.6167267084666'}"
ONT/BTC,ONT/BTC,1709579785670,2024-03-04T19:16:25.670Z,,,,,,,,,,,,,,,,,"{'market': 'ONT-BTC', 'startTimestamp': '1709493385670', 'timestamp': '1709579785670', 'open': None, 'openTimestamp': None, 'high': None, 'low': None, 'last': None, 'closeTimestamp': None, 'bid': None, 'bidSize': None, 'ask': None, 'askSize': None, 'volume': None, 'volumeQuote': None}"
