,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
CLEO/USDT,CLEO/USDT,1709579678617,2024-03-04T19:14:38.617Z,0.05237,0.051513,0.052141,2330.0,0.052228,2362.0,0.051940815310292196,0.051819,0.052194,0.052194,,0.000375,0.72,0.0520065,4863996.0,252639.917906,"{'symbol': 'CLEO_USDT', 'last_price': '0.052194', 'quote_volume_24h': '252639.917906', 'base_volume_24h': '4863996', 'high_24h': '0.052370', 'low_24h': '0.051513', 'open_24h': '0.051819', 'close_24h': '0.052194', 'best_ask': '0.052228', 'best_ask_size': '2362', 'best_bid': '0.052141', 'best_bid_size': '2330', 'fluctuation': '+0.0072', 'url': 'https://www.bitmart.com/trade?symbol=CLEO_USDT', 'timestamp': '1709579678617'}"
ANC/USDT,ANC/USDT,1709579701020,2024-03-04T19:15:01.020Z,0.0178,0.0145,0.016,4536.01,0.0165,3757.89,0.015622430068820175,0.0155,0.0165,0.0165,,0.001,6.45,0.016,3804936.52,59442.3547,"{'symbol': 'ANC_USDT', 'last_price': '0.0165', 'quote_volume_24h': '59442.3547', 'base_volume_24h': '3804936.52', 'high_24h': '0.0178', 'low_24h': '0.0145', 'open_24h': '0.0155', 'close_24h': '0.0165', 'best_ask': '0.0165', 'best_ask_size': '3757.89', 'best_bid': '0.0160', 'best_bid_size': '4536.01', 'fluctuation': '+0.0645', 'url': 'https://www.bitmart.com/trade?symbol=ANC_USDT', 'timestamp': '1709579701020'}"
PWC/USDT,PWC/USDT,1709579672828,2024-03-04T19:14:32.828Z,0.00934,0.00871,0.00885,2824.85,0.00988,1242.08,0.009279638641309254,0.00932,0.00929,0.00929,,-3e-05,-0.32,0.009305,8303438.32,77052.90709,"{'symbol': 'PWC_USDT', 'last_price': '0.00929', 'quote_volume_24h': '77052.90709', 'base_volume_24h': '8303438.32', 'high_24h': '0.00934', 'low_24h': '0.00871', 'open_24h': '0.00932', 'close_24h': '0.00929', 'best_ask': '0.00988', 'best_ask_size': '1242.08', 'best_bid': '0.00885', 'best_bid_size': '2824.85', 'fluctuation': '-0.0032', 'url': 'https://www.bitmart.com/trade?symbol=PWC_USDT', 'timestamp': '1709579672828'}"
CHONKY/USDT,CHONKY/USDT,1709579700824,2024-03-04T19:15:00.824Z,6.5317e-05,3.8162e-05,4.0136e-05,8363.28,4.0346e-05,252042.39,4.5910609649146e-05,5.1456e-05,4.0346e-05,4.0346e-05,,-1.111e-05,-21.59,4.5901e-05,2414345630.56,110844.079802763,"{'symbol': 'CHONKY_USDT', 'last_price': '0.000040346', 'quote_volume_24h': '110844.079802763', 'base_volume_24h': '2414345630.56', 'high_24h': '0.000065317', 'low_24h': '0.000038162', 'open_24h': '0.000051456', 'close_24h': '0.000040346', 'best_ask': '0.000040346', 'best_ask_size': '252042.39', 'best_bid': '0.000040136', 'best_bid_size': '8363.28', 'fluctuation': '-0.2159', 'url': 'https://www.bitmart.com/trade?symbol=CHONKY_USDT', 'timestamp': '1709579700824'}"
ONLYFANS/USDT,ONLYFANS/USDT,1709579687680,2024-03-04T19:14:47.680Z,2e-14,1.2e-14,1.2e-14,9759797551351538.0,1.4e-14,8484368910447356.0,1.5906e-14,1.9e-14,1.3e-14,1.3e-14,,-6e-15,-31.58,1.6e-14,3.7276022947481626e+18,59291.49395025347,"{'symbol': 'ONLYFANS_USDT', 'last_price': '0.000000000000013', 'quote_volume_24h': '59291.493950253470136', 'base_volume_24h': '3727602294748162570', 'high_24h': '0.000000000000020', 'low_24h': '0.000000000000012', 'open_24h': '0.000000000000019', 'close_24h': '0.000000000000013', 'best_ask': '0.000000000000014', 'best_ask_size': '8484368910447356', 'best_bid': '0.000000000000012', 'best_bid_size': '9759797551351538', 'fluctuation': '-0.3158', 'url': 'https://www.bitmart.com/trade?symbol=ONLYFANS_USDT', 'timestamp': '1709579687680'}"
BEAM/USDT,BEAM/USDT,1709579701317,2024-03-04T19:15:01.317Z,0.036612,0.032697,0.033585,523.0,0.033746,1132.9,0.034624463689419176,0.034097,0.033661,0.033661,,-0.000436,-1.28,0.033879,70821356.8,2452151.496957,"{'symbol': 'BEAM_USDT', 'last_price': '0.033661', 'quote_volume_24h': '2452151.496957', 'base_volume_24h': '70821356.8', 'high_24h': '0.036612', 'low_24h': '0.032697', 'open_24h': '0.034097', 'close_24h': '0.033661', 'best_ask': '0.033746', 'best_ask_size': '1132.9', 'best_bid': '0.033585', 'best_bid_size': '523.0', 'fluctuation': '-0.0128', 'url': 'https://www.bitmart.com/trade?symbol=BEAM_USDT', 'timestamp': '1709579701317'}"
ZTX/USDT,ZTX/USDT,1709579700011,2024-03-04T19:15:00.011Z,0.03736,0.03142,0.03428,808.4,0.03449,2229.1,0.032783340342836656,0.03318,0.03439,0.03439,,0.00121,3.65,0.033785,38197666.0,1252247.08478,"{'symbol': 'ZTX_USDT', 'last_price': '0.03439', 'quote_volume_24h': '1252247.08478', 'base_volume_24h': '38197666.0', 'high_24h': '0.03736', 'low_24h': '0.03142', 'open_24h': '0.03318', 'close_24h': '0.03439', 'best_ask': '0.03449', 'best_ask_size': '2229.1', 'best_bid': '0.03428', 'best_bid_size': '808.4', 'fluctuation': '+0.0365', 'url': 'https://www.bitmart.com/trade?symbol=ZTX_USDT', 'timestamp': '1709579700011'}"
TOKA/USDT,TOKA/USDT,1709579693758,2024-03-04T19:14:53.758Z,0.004197,0.003,0.003731,12061.1096,0.004329,6184.4565,0.003616831039259993,0.003802,0.004028,0.004028,,0.000226,5.94,0.003915,58389845.8116,211186.206709,"{'symbol': 'TOKA_USDT', 'last_price': '0.004028', 'quote_volume_24h': '211186.206709', 'base_volume_24h': '58389845.8116', 'high_24h': '0.004197', 'low_24h': '0.003000', 'open_24h': '0.003802', 'close_24h': '0.004028', 'best_ask': '0.004329', 'best_ask_size': '6184.4565', 'best_bid': '0.003731', 'best_bid_size': '12061.1096', 'fluctuation': '+0.0594', 'url': 'https://www.bitmart.com/trade?symbol=TOKA_USDT', 'timestamp': '1709579693758'}"
BTC/TUSD,BTC/TUSD,1709579692067,2024-03-04T19:14:52.067Z,67420.53,62559.1,66279.27,0.00033,66563.84,0.04184,64351.06475035203,62828.82,66441.67,66441.67,,3612.85,5.75,64635.245,2.54238,163604.86,"{'symbol': 'BTC_TUSD', 'last_price': '66441.67', 'quote_volume_24h': '163604.86', 'base_volume_24h': '2.54238', 'high_24h': '67420.53', 'low_24h': '62559.10', 'open_24h': '62828.82', 'close_24h': '66441.67', 'best_ask': '66563.84', 'best_ask_size': '0.04184', 'best_bid': '66279.27', 'best_bid_size': '0.00033', 'fluctuation': '+0.0575', 'url': 'https://www.bitmart.com/trade?symbol=BTC_TUSD', 'timestamp': '1709579692067'}"
MOON/USDT,MOON/USDT,1709562016736,2024-03-04T14:20:16.736Z,0.009,0.008,0.009,41171.856,0.01,5977.527,0.008566606343257847,0.009,0.009,0.009,,0.0,0.0,0.009,13483.986,115.512,"{'symbol': 'MOON_USDT', 'last_price': '0.009', 'quote_volume_24h': '115.512', 'base_volume_24h': '13483.986', 'high_24h': '0.009', 'low_24h': '0.008', 'open_24h': '0.009', 'close_24h': '0.009', 'best_ask': '0.010', 'best_ask_size': '5977.527', 'best_bid': '0.009', 'best_bid_size': '41171.856', 'fluctuation': '0', 'url': 'https://www.bitmart.com/trade?symbol=MOON_USDT', 'timestamp': '1709562016736'}"
