,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
QIE/USDT,QIE/USDT,1709579778000,2024-03-04T19:16:18.000Z,0.01772,0.01001,0.01215,,0.01656,,0.013538816613424667,,0.01234,0.01234,,,-11.73,,936917.0,12684.747445,"{'date': 1709579778, 'vol': '936917', 'change': '-11.73', 'base_vol': '12684.747445', 'sell': '0.01656', 'last': '0.01234', 'symbol': 'qie_usdt', 'low': '0.01001', 'buy': '0.01215', 'high': '0.01772'}"
RSTX/USDT,RSTX/USDT,1709579778000,2024-03-04T19:16:18.000Z,0.037,0.037,0.0339,,0.85797,,,,0.037,0.037,,,,,0.0,0.0,"{'date': 1709579778, 'vol': '0', 'change': '0', 'base_vol': '0', 'sell': '0.85797', 'last': '0.037', 'symbol': 'rstx_usdt', 'low': '0.037', 'buy': '0.0339', 'high': '0.037'}"
WDPF_USDT,WDPF_USDT,1709579778000,2024-03-04T19:16:18.000Z,0.002,0.0019,0.0019,,0.002,,0.0019,,0.0019,0.0019,,,-5.0,,785206.92,1491.893148,"{'date': 1709579778, 'vol': '785206.92', 'change': '-5', 'base_vol': '1491.893148', 'sell': '0.002', 'last': '0.0019', 'symbol': 'wdpf_usdt', 'low': '0.0019', 'buy': '0.0019', 'high': '0.002'}"
RB/USDT,RB/USDT,1709579778000,2024-03-04T19:16:18.000Z,2.0902,2.06173,2.07743,,2.0902,,2.0740007032375187,,2.07743,2.07743,,,0.34,,7761.6166,16097.59828666,"{'date': 1709579778, 'vol': '7761.6166', 'change': '0.34', 'base_vol': '16097.59828666', 'sell': '2.0902', 'last': '2.07743', 'symbol': 'rb_usdt', 'low': '2.06173', 'buy': '2.07743', 'high': '2.0902'}"
CATHEON/USDT,CATHEON/USDT,1709579778000,2024-03-04T19:16:18.000Z,0.00277376,0.00223812,0.0024069,,0.00241416,,0.002421857231128866,,0.00241416,0.00241416,,,5.31,,1195230.1916,2894.67688239,"{'date': 1709579778, 'vol': '1195230.1916', 'change': '5.31', 'base_vol': '2894.67688239', 'sell': '0.00241416', 'last': '0.00241416', 'symbol': 'catheon_usdt', 'low': '0.00223812', 'buy': '0.0024069', 'high': '0.00277376'}"
UTK_USDT,UTK_USDT,1709579778000,2024-03-04T19:16:18.000Z,0.107016,0.098914,0.10116,,0.10134,,0.10327411647002455,,0.10134,0.10134,,,-2.79,,3166158.0,326982.1700545,"{'date': 1709579778, 'vol': '3166158', 'change': '-2.79', 'base_vol': '326982.1700545', 'sell': '0.10134', 'last': '0.10134', 'symbol': 'utk_usdt', 'low': '0.098914', 'buy': '0.10116', 'high': '0.107016'}"
RET/USDT,RET/USDT,1709579778000,2024-03-04T19:16:18.000Z,2.339e-10,2.2556e-10,2.2555e-10,,2.3391e-10,,2.29742662e-10,,2.3351e-10,2.3351e-10,,,1.05,,4675752001609100.0,1074219.7140366,"{'date': 1709579778, 'vol': '4.6757520016091e+15', 'change': '1.05', 'base_vol': '1074219.7140366', 'sell': '2.3391e-10', 'last': '2.3351e-10', 'symbol': 'ret_usdt', 'low': '2.2556e-10', 'buy': '2.2555e-10', 'high': '2.339e-10'}"
MRS/USDT,MRS/USDT,1709579778000,2024-03-04T19:16:18.000Z,2.346,2.346,2.333,,2.403,,,,2.346,2.346,,,,,0.0,0.0,"{'date': 1709579778, 'vol': '0', 'change': '0', 'base_vol': '0', 'sell': '2.403', 'last': '2.346', 'symbol': 'mrs_usdt', 'low': '2.346', 'buy': '2.333', 'high': '2.346'}"
PLUS/USDT,PLUS/USDT,1709579778000,2024-03-04T19:16:18.000Z,0.1248,0.1248,0.01,,0.1531,,,,0.1248,0.1248,,,,,0.0,0.0,"{'date': 1709579778, 'vol': '0', 'change': '0', 'base_vol': '0', 'sell': '0.1531', 'last': '0.1248', 'symbol': 'plus_usdt', 'low': '0.1248', 'buy': '0.01', 'high': '0.1248'}"
ASAN/USDT,ASAN/USDT,1709579778000,2024-03-04T19:16:18.000Z,5.68e-05,5.31e-05,5.37e-05,,5.38e-05,,5.5115864774202e-05,,5.38e-05,5.38e-05,,,-5.11,,44494221.3324,2452.33748619,"{'date': 1709579778, 'vol': '44494221.3324', 'change': '-5.11', 'base_vol': '2452.33748619', 'sell': '5.38e-05', 'last': '5.38e-05', 'symbol': 'asan_usdt', 'low': '5.31e-05', 'buy': '5.37e-05', 'high': '5.68e-05'}"
