,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
GLMR/EUR,GLMR/EUR,,,0.482,0.442,0.453,,0.454,,0.4641,0.473,0.454,0.454,,-0.019,-4.016913319238901,0.4635,275655.77625599,127931.84576040496,"{'a': ['0.45400', '10252', '10252.000'], 'b': ['0.45300', '9144', '9144.000'], 'c': ['0.45400', '16.26106000'], 'v': ['246841.05330447', '275655.77625599'], 'p': ['0.46330', '0.46410'], 't': ['202', '233'], 'l': ['0.44200', '0.44200'], 'h': ['0.48200', '0.48200'], 'o': '0.47300'}"
GLMR/USD,GLMR/USD,,,0.523,0.48,0.491,,0.492,,0.50689,0.512,0.489,0.489,,-0.023,-4.4921875,0.5005,718283.71111167,364090.8303253944,"{'a': ['0.49200', '58', '58.000'], 'b': ['0.49100', '17029', '17029.000'], 'c': ['0.48900', '128.79826000'], 'v': ['660972.34233922', '718283.71111167'], 'p': ['0.50624', '0.50689'], 't': ['597', '712'], 'l': ['0.48000', '0.48000'], 'h': ['0.52300', '0.52300'], 'o': '0.51200'}"
GMT/EUR,GMT/EUR,,,0.297,0.28,0.285,,0.287,,0.29274,0.294,0.286,0.286,,-0.008,-2.7210884353741496,0.29,34230.47383853,10020.628911491272,"{'a': ['0.28700', '5885', '5885.000'], 'b': ['0.28500', '10121', '10121.000'], 'c': ['0.28600', '25.78947000'], 'v': ['22668.78658537', '34230.47383853'], 'p': ['0.29209', '0.29274'], 't': ['83', '108'], 'l': ['0.28000', '0.28000'], 'h': ['0.29700', '0.29700'], 'o': '0.29400'}"
GMT/USD,GMT/USD,,,0.33,0.301,0.31,,0.311,,0.31508,0.319,0.309,0.309,,-0.01,-3.134796238244514,0.314,235655.10707308,74250.21113658605,"{'a': ['0.31100', '6747', '6747.000'], 'b': ['0.31000', '10746', '10746.000'], 'c': ['0.30900', '24.14992893'], 'v': ['186655.76172052', '235655.10707308'], 'p': ['0.31361', '0.31508'], 't': ['385', '462'], 'l': ['0.30100', '0.30100'], 'h': ['0.32800', '0.33000'], 'o': '0.31900'}"
GMX/EUR,GMX/EUR,,,55.08,50.81,51.79,,52.44,,53.006323,54.32,51.5,51.5,,-2.82,-5.191458026509573,52.91,302.38005109,16028.054656833043,"{'a': ['52.440000', '11', '11.000'], 'b': ['51.790000', '35', '35.000'], 'c': ['51.500000', '0.44871809'], 'v': ['275.83716210', '302.38005109'], 'p': ['52.874778', '53.006323'], 't': ['114', '131'], 'l': ['50.810000', '50.810000'], 'h': ['55.080000', '55.080000'], 'o': '54.320000'}"
GMX/USD,GMX/USD,,,59.97,55.12,56.27,,56.45,,57.727876,58.96,56.59,56.59,,-2.37,-4.019674355495251,57.775,1979.06723014,114247.34765718538,"{'a': ['56.450000', '27', '27.000'], 'b': ['56.270000', '1', '1.000'], 'c': ['56.590000', '0.11051000'], 'v': ['1640.92937617', '1979.06723014'], 'p': ['57.470495', '57.727876'], 't': ['435', '507'], 'l': ['55.120000', '55.120000'], 'h': ['59.970000', '59.970000'], 'o': '58.960000'}"
GNO/EUR,GNO/EUR,,,369.0,358.65,362.62,,367.83,,366.290156,369.0,365.42,365.42,,-3.58,-0.9701897018970189,367.21,75.37209815,27608.05758941081,"{'a': ['367.830000', '1', '1.000'], 'b': ['362.620000', '3', '3.000'], 'c': ['365.420000', '0.04507884'], 'v': ['71.76333832', '75.37209815'], 'p': ['366.241516', '366.290156'], 't': ['276', '290'], 'l': ['358.650000', '358.650000'], 'h': ['369.000000', '369.000000'], 'o': '369.000000'}"
GNO/USD,GNO/USD,,,401.7,391.78,393.94,,396.4,,397.521642,400.88,396.52,396.52,,-4.36,-1.0876072640191579,398.7,175.97318803,69953.15065366034,"{'a': ['396.400000', '2', '2.000'], 'b': ['393.940000', '2', '2.000'], 'c': ['396.520000', '0.07000000'], 'v': ['172.08201150', '175.97318803'], 'p': ['397.495227', '397.521642'], 't': ['645', '657'], 'l': ['391.780000', '391.780000'], 'h': ['401.700000', '401.700000'], 'o': '400.880000'}"
GNO/BTC,GNO/BTC,,,0.00635,0.00579,0.0059,,0.00602,,0.00599752,0.00635,0.00595,0.00595,,-0.0004,-6.299212598425197,0.00615,62.64444244,0.3757112964227488,"{'a': ['0.00602000', '2', '2.000'], 'b': ['0.00590000', '2', '2.000'], 'c': ['0.00595000', '0.25287317'], 'v': ['58.85141986', '62.64444244'], 'p': ['0.00598168', '0.00599752'], 't': ['43', '47'], 'l': ['0.00579000', '0.00579000'], 'h': ['0.00635000', '0.00635000'], 'o': '0.00635000'}"
GNTETH,GNTETH,,,,,,,,,,,,,,,,,0.0,0.0,"{'a': ['0.00000000', '0', '0.000'], 'b': ['0.00000000', '0', '0.000'], 'c': ['0.00000000', '0.00000000'], 'v': ['0.00000000', '0.00000000'], 'p': ['0.00000000', '0.00000000'], 't': ['0', '0'], 'l': ['0.00000000', '0.00000000'], 'h': ['0.00000000', '0.00000000'], 'o': '0.00000000'}"
