,symbol
0,LTC/BTC
1,QTUM/BTC
2,DOGE/USDT
3,SHIB/USDT
4,ETH/USDT
5,BCH/BTC
6,TRX/ETH
7,XRP/USDT
8,EOS/USDT
9,LTC/USDT
10,ATOM/USDT
11,BTC/USDC
12,DOT/USDT
13,USDC/USDT
14,TRX/BTC
15,ETH/BTC
16,BCH/USDT
17,ATOM/BTC
18,ETH/USDC
19,LINK/USDT
20,XTZ/USDT
21,BTC/USDT
22,ADA/USDT
