,symbol
0,ADA/BTC
1,ETH/BTC
2,XLM/BTC
3,XTZ/BTC
4,IOTA/BTC
5,EOS/BTC
6,ETC/BTC
7,XRP/BTC
8,NEO/BTC
9,LTC/BTC
10,OMG/BTC
