,symbol
0,MONG/USDT
1,EGO/USDT
2,ZRX/USDT
3,WIN/USDT
4,LF/USDT
5,MDT/USDT
6,API3/USDT
7,AGIX/USDT
8,TRX/ETH
9,DUEL/USDT
10,TIP/USDT
11,KAS/USDT
12,APT/USDT
13,DGB/USDT
14,SMILEY/USDT
15,USDC/USDT
16,IPX/USDT
17,ETH/BTC
18,NLC/USDT
19,RFD/USDT
20,KUNCI/USDT
21,QTUM/USDT
22,KEKE/USDT
23,ETH/USDC
24,ETC/USDT
25,XTZ/USDT
26,MICE/USDT
27,VEXT/USDT
28,PMG/USDT
29,HAM/USDT
30,AGI/USDT
31,GOAL/USDT
32,ETH/USDT
33,BCH/BTC
34,ONG/USDT
35,FLR/USDT
36,L/USDT
37,EOS/USDT
38,REN/USDT
39,BICO/USDT
40,BONE/USDT
41,LTC/USDT
42,OSMO/USDT
43,TURT/USDT
44,BTC/USDC
45,XLM/USDT
46,DOT/USDT
47,CORE/USDT
48,BRG/USDT
49,ELF/USDT
50,TRX/BTC
51,CGPT/USDT
52,AIDOGE/USDT
53,RATS/USDT
54,BRISE/USDT
55,ALT/USDT
56,THETA/USDT
57,IMX/USDT
58,XDC/USDT
59,AGLD/USDT
60,SYS/USDT
61,ZERO/USDT
62,LINK/USDT
63,LDO/USDT
64,NEO/USDT
65,MUBI/USDT
66,AVALOX/USDT
67,BTC/USDT
68,FIL/USDT
69,XRD/USDT
70,GROK/USDT
71,LTC/BTC
72,VINU/USDT
73,DBD/USDT
74,QUACK/USDT
75,BSV/USDT
76,SHIB/USDT
77,XRP/USDT
78,PEOPLE/USDT
79,TON/USDT
80,BFIC/USDT
81,BTT/USDT
82,TRX/USDT
83,ONT/BTC
84,IOST/USDT
85,CANDY/USDT
86,MLXC/USDT
87,CFX/USDT
88,XDEN/USDT
89,GMT/USDT
90,LNR/USDT
91,BCH/USDT
92,ATOM/BTC
93,VIC/USDT
94,CRO/USDT
95,ADA/USDT
96,WAGMIGAMES/USDT
97,DOGE/USDT
98,QTUM/BTC
99,DC/USDT
100,SHOP/USDT
101,BOBA/USDT
102,ORDI/USDT
103,GRV/USDT
104,KATA/USDT
105,AITECH/USDT
106,ATOM/USDT
107,NETZ/USDT
108,SATS/USDT
109,STRM/USDT
110,QRDO/USDT
111,TBC/USDT
112,PEN/USDT
113,MANC/USDT
114,WALV/USDT
