,symbol
0,BCH/BTC
1,ETH/BTC
2,XLM/BTC
3,VET/BTC
4,ONT/BTC
5,LTC/BTC
6,QTUM/BTC
7,OMG/BTC
8,TRX/BTC
9,ZRX/BTC
10,LINK/BTC
11,ZIL/BTC
