,symbol
0,DOGE/USDT
1,LTC/BTC
2,SHIB/USDT
3,ETH/USDT
4,TRX/ETH
5,XRP/USDT
6,TON/USDT
7,FLR/USDT
8,EOS/USDT
9,TRX/USDT
10,LTC/USDT
11,ATOM/USDT
12,APT/USDT
13,XLM/USDT
14,DOT/USDT
15,USDC/USDT
16,TRX/BTC
17,ETH/BTC
18,QRDO/USDT
19,THETA/USDT
20,XDC/USDT
21,ATOM/BTC
22,LINK/USDT
23,LDO/USDT
24,NEO/USDT
25,ETC/USDT
26,XTZ/USDT
27,BTC/USDT
28,FIL/USDT
29,ADA/USDT
