,symbol
0,REN/USDT
1,XTZ/USDT
2,BOBA/USDT
3,FLR/USDT
4,BTC/USDC
5,EOS/USDT
6,PMG/USDT
7,MICE/USDT
8,TRX/USDT
9,HAM/USDT
10,RATS/USDT
11,BSV/USDT
12,ONG/USDT
13,MDT/USDT
14,MONG/USDT
15,GMT/USDT
16,ELF/USDT
17,BCH/USDT
18,DOGE/USDT
19,CORE/USDT
20,OSMO/USDT
21,BONE/USDT
22,WAGMIGAMES/USDT
23,GOAL/USDT
24,TURT/USDT
25,APT/USDT
26,XLM/USDT
27,XRP/USDT
28,BCH/BTC
29,DOT/USDT
30,ADA/USDT
31,IMX/USDT
32,FIL/USDT
33,WIN/USDT
34,AITECH/USDT
35,THETA/USDT
36,DC/USDT
37,ZRX/USDT
38,LTC/USDT
39,VEXT/USDT
40,API3/USDT
41,PEOPLE/USDT
42,CFX/USDT
43,WALV/USDT
44,QTUM/BTC
45,ZERO/USDT
46,BRISE/USDT
47,AGLD/USDT
48,IOST/USDT
49,TRX/ETH
50,ALT/USDT
51,VIC/USDT
52,SYS/USDT
53,QRDO/USDT
54,ETC/USDT
55,TIP/USDT
56,AIDOGE/USDT
57,XDC/USDT
58,ORDI/USDT
59,AGIX/USDT
60,XRD/USDT
61,LINK/USDT
62,SATS/USDT
63,CRO/USDT
64,ATOM/BTC
65,BTT/USDT
66,ETH/BTC
67,NEO/USDT
68,QTUM/USDT
69,ATOM/USDT
70,VINU/USDT
71,LTC/BTC
72,DUEL/USDT
73,TON/USDT
74,KAS/USDT
75,RFD/USDT
76,SHIB/USDT
77,USDC/USDT
78,CGPT/USDT
79,LDO/USDT
80,MUBI/USDT
81,BTC/USDT
82,GRV/USDT
83,BICO/USDT
84,AGI/USDT
85,STRM/USDT
86,GROK/USDT
87,ETH/USDT
88,QUACK/USDT
89,ETH/USDC
