,symbol
0,APE/USDT
1,HIFI/USDT
2,FLR/USDT
3,BTC/USDC
4,ZRX/BTC
5,MOVEZ/USDT
6,LPT/USDT
7,ASTR/USDT
8,TRX/USDC
9,HYDRA/USDT
10,MATIC/USDC
11,MXC/USDT
12,IMPT/USDT
13,LAT/USDT
14,EQ/USDT
15,UNIBOT/USDT
16,DMAIL/USDT
17,PMG/USDT
18,MICE/USDT
19,SKL/USDT
20,PERP/USDT
21,SUI/USDT
22,IRON/USDT
23,DOGA/USDT
24,CIRUS/USDT
25,LUNA/USDT
26,ONG/USDT
27,RFUEL/USDT
28,OLE/USDT
29,XCH/USDT
30,DMTR/USDT
31,BCH/USDT
32,OSMO/USDT
33,KEY/USDT
34,FTRB/USDT
35,FRA/USDT
36,NEON/USDT
37,PEPE/USDT
38,ZZZ/USDT
39,WAGMIGAMES/USDT
40,C98/USDT
41,FTT/USDT
42,FTN/USDT
43,BONDLY/USDT
44,KAP/USDT
45,STX/USDT
46,LTO/USDT
47,BEAM/USDT
48,PORTO/USDT
49,LADYS/USDT
50,OOE/USDT
51,PLAY/USDT
52,NFP/USDT
53,CETUS/USDT
54,IMX/USDT
55,ACH/USDT
56,LRC/USDT
57,ALU/USDT
58,WIN/USDT
59,USTC/USDT
60,FNSA/USDT
61,ACM/USDT
62,DC/USDT
63,THG/USDT
64,HGPT/USDT
65,1INCH/USDT
66,ARB/USDT
67,REP/USDT
68,GTAI/USDT
69,RSR/USDT
70,WMT/USDT
71,PANDORA/USDT
72,LOKA/USDT
73,WEN/USDT
74,GMX/USDT
75,AAVE/USDT
76,BAKE/USDT
77,WEMIX/USDT
78,WIT/USDT
79,WALV/USDT
80,QTUM/BTC
81,BLUR/USDT
82,PROS/USDT
83,CELR/USDT
84,ZERO/USDT
85,BRISE/USDT
86,VRTX/USDT
87,WOO/USDT
88,HBAR/USDT
89,MANA/USDT
90,BRN/USDT
91,KUBE/USDT
92,BONK/USDT
93,USDP/USDT
94,GAL/USDT
95,MMSS/USDT
96,SIDUS/USDT
97,TWT/USDT
98,GORILLA/USDT
99,D2T/USDT
100,HOT/ETH
101,ISP/USDT
