,symbol
0,LTC/USDT
1,XRP/USDT
2,ATOM/BTC
3,ETH/BTC
4,TRX/ETH
5,USDC/USDT
6,DOT/USDT
7,SHIB/USDT
8,XTZ/USDT
9,DOGE/USDT
10,ADA/USDT
11,ETH/USDT
12,ATOM/USDT
13,LTC/BTC
14,TRX/BTC
15,EOS/USDT
16,BTC/USDT
17,LINK/USDT
