,symbol
0,LTC/BTC
1,OMG/BTC
2,XRP/BTC
3,ETH/EUR
4,TRX/BTC
5,TRX/EUR
6,ETH/BTC
7,ADA/BTC
8,EOS/BTC
9,XTZ/BTC
10,XLM/BTC
11,ETC/BTC
12,BTC/EUR
