,symbol
0,MONG/USDT
1,DASH/BTC
2,JAM/USDT
3,TABOO/USDT
4,ZRX/USDT
5,WIN/USDT
6,MDT/USDT
7,API3/USDT
8,PIT/USDT
9,WSI/USDT
10,AGIX/USDT
11,TRX/ETH
12,DUEL/USDT
13,KUB/USDT
14,TIP/USDT
15,PROM/USDT
16,KAS/USDT
17,APT/USDT
18,FIL/BTC
19,USDC/USDT
20,ZEC/BTC
21,SAKAI/USDT
22,ETH/BTC
23,POPK/USDT
24,RFD/USDT
25,ETC/BTC
26,RUFF/USDT
27,NEO/BTC
28,QTUM/USDT
29,ETH/USDC
30,OMG/USDT
31,XAVA/USDT
32,PRIMAL/USDT
33,CLIPS/USDT
34,NALS/USDT
35,ETC/USDT
36,XTZ/USDT
37,MICE/USDT
38,VEXT/USDT
39,PMG/USDT
40,HAM/USDT
41,AGI/USDT
42,GOAL/USDT
43,ETH/USDT
44,BCH/BTC
45,EOS/ETH
46,ONG/USDT
47,SGB/USDT
48,AMC/USDT
49,FLR/USDT
50,EOS/USDT
51,REN/USDT
52,ONT/USDT
53,BICO/USDT
54,BONE/USDT
55,LTC/USDT
56,OSMO/USDT
57,TURT/USDT
58,BTC/USDC
59,XLM/USDT
60,BTC3S/USDT
61,XRP/BTC
62,DOT/USDT
63,CORE/USDT
64,ZIL/ETH
65,HXA/USDT
66,CORGIAI/USDT
67,ELF/USDT
68,VEMP/USDT
69,CGPT/USDT
70,AIDOGE/USDT
71,RATS/USDT
72,BRISE/USDT
73,ALT/USDT
74,PSUB/USDT
75,THETA/USDT
76,IMX/USDT
77,XDC/USDT
78,AGLD/USDT
79,SYS/USDT
80,BTC3L/USDT
81,CATHEON/USDT
82,ZERO/USDT
83,LINK/USDT
84,LDO/USDT
85,NEO/USDT
86,MUBI/USDT
87,BTC/USDT
88,PERC/USDT
89,FIL/USDT
90,XRD/USDT
91,ESD/USDT
92,GROK/USDT
93,BSV/BTC
94,LTC/BTC
95,VINU/USDT
96,QUACK/USDT
97,BSV/USDT
98,MINT/USDT
99,SHIB/USDT
100,FDC/USDT
101,XRP/USDT
102,ANT/USDT
103,PEOPLE/USDT
104,TON/USDT
105,BTT/USDT
106,TRX/USDT
107,WZRD/USDT
108,CBK/USDT
109,IOST/USDT
110,EOS/BTC
111,REVV/USDT
112,NAP/USDT
113,KAI/USDT
114,CFX/USDT
115,GMT/USDT
116,BCH/USDT
117,ATOM/BTC
118,ZIL/USDT
119,VIC/USDT
120,CRO/USDT
121,ADA/USDT
122,WAGMIGAMES/USDT
123,DOGE/USDT
124,QTUM/BTC
125,DC/USDT
126,ALPHA/USDT
127,HAHA/USDT
128,BOBA/USDT
129,ORDI/USDT
130,GRV/USDT
131,LAMB/USDT
132,ABBC/USDT
133,ZEC/USDT
134,AITECH/USDT
135,ATOM/USDT
136,YCT/USDT
137,TURBO/USDT
138,REAL/USDT
139,SATS/USDT
140,STRM/USDT
141,BISO/USDT
142,QRDO/USDT
143,EVMOS/USDT
144,CLO/USDT
145,DASH/USDT
146,FIL3L/USDT
147,SUIA/USDT
148,WALV/USDT
