,symbol
0,ADA/BTC
1,ZRX/BTC
2,BCH/BTC
3,ETH/BTC
4,NANO/BTC
5,XLM/BTC
6,XTZ/BTC
7,EOS/BTC
8,ETC/BTC
9,XRP/BTC
10,QTUM/BTC
11,LSK/BTC
12,LTC/BTC
13,OMG/BTC
14,WAVES/BTC
15,BAT/BTC
