,symbol
0,DASH/BTC
1,LTC/BTC
2,DOGE/USDT
3,SHIB/USDT
4,ETH/USDT
5,TRX/ETH
6,EOS/ETH
7,XRP/USDT
8,EOS/USDT
9,LTC/USDT
10,ATOM/USDT
11,XRP/BTC
12,DOT/USDT
13,USDC/USDT
14,ZEC/BTC
15,TRX/BTC
16,ETH/BTC
17,EOS/BTC
18,ETC/BTC
19,ATOM/BTC
20,LINK/USDT
21,XTZ/USDT
22,BTC/USDT
23,ADA/USDT
