,symbol
0,DASH/BTC
1,LTC/BTC
2,QTUM/BTC
3,DOGE/USDT
4,SHIB/USDT
5,ETH/USDT
6,BCH/BTC
7,EOS/ETH
8,TRX/ETH
9,XRP/USDT
10,EOS/USDT
11,LTC/USDT
12,ATOM/USDT
13,BTC/USDC
14,FIL/BTC
15,DOT/USDT
16,XRP/BTC
17,USDC/USDT
18,ZEC/BTC
19,TRX/BTC
20,ATOM/ETH
21,ETH/BTC
22,EOS/BTC
23,ETC/BTC
24,BCH/USDT
25,ATOM/BTC
26,ETH/USDC
27,LINK/USDT
28,XTZ/USDT
29,BTC/USDT
30,ADA/USDT
31,XRP/ETH
