,symbol
0,DASH/BTC
1,LTC/BTC
2,DOGE/USDT
3,SHIB/USDT
4,ETH/USDT
5,TRX/ETH
6,EOS/ETH
7,XRP/USDT
8,EOS/USDT
9,LTC/USDT
10,ATOM/USDT
11,XRP/BTC
12,DOT/USDT
13,USDC/USDT
14,ZEC/BTC
15,ETH/BTC
16,EOS/BTC
17,ETC/BTC
18,ATOM/BTC
19,LINK/USDT
20,XTZ/USDT
21,BTC/USDT
22,ADA/USDT
